Header,Link,Summary,DateTime
N/A,N/A,N/A,2025-01-06T17:59:05.159480
N/A,N/A,N/A,2025-01-06T17:59:05.159526
N/A,N/A,N/A,2025-01-06T17:59:05.159571
N/A,N/A,N/A,2025-01-06T17:59:05.159616
N/A,N/A,N/A,2025-01-06T17:59:05.159661
N/A,N/A,N/A,2025-01-06T17:59:05.159705
N/A,N/A,N/A,2025-01-06T17:59:05.159750
N/A,N/A,N/A,2025-01-06T17:59:05.159795
N/A,N/A,N/A,2025-01-06T17:59:05.159838
N/A,N/A,N/A,2025-01-06T17:59:05.159882
N/A,N/A,N/A,2025-01-06T17:59:05.159926
N/A,N/A,N/A,2025-01-06T17:59:05.159970
N/A,N/A,N/A,2025-01-06T17:59:05.160014
N/A,N/A,N/A,2025-01-06T17:59:05.160059
N/A,N/A,N/A,2025-01-06T17:59:05.160104
N/A,N/A,N/A,2025-01-06T17:59:05.160147
N/A,N/A,N/A,2025-01-06T17:59:05.160194
N/A,N/A,N/A,2025-01-06T17:59:05.160293
N/A,N/A,N/A,2025-01-06T17:59:05.160392
N/A,N/A,N/A,2025-01-06T17:59:05.160499
N/A,N/A,N/A,2025-01-06T17:59:05.160598
N/A,N/A,N/A,2025-01-06T17:59:05.160697
N/A,N/A,N/A,2025-01-06T17:59:05.160795
N/A,N/A,"מגישת הטלוויזיה תקפה את גדות באינסטגרם על כך שלא ענדה את סיכת החטופים בטקס גלובוס הזהב. ""תתביישי לך, הצביעות חוגגת!"", כתבה. מטעמה של גדות נמסר: ""גל לא יכלה לענוד סיכת החטופים כי היא הגישה פרס ויש כללים""",2025-01-06T17:59:05.160897
N/A,N/A,N/A,2025-01-06T17:59:05.160994
N/A,N/A,N/A,2025-01-06T17:59:05.161081
N/A,N/A,N/A,2025-01-06T17:59:05.161167
N/A,N/A,N/A,2025-01-06T17:59:05.161263
N/A,N/A,N/A,2025-01-06T17:59:05.161321
N/A,N/A,N/A,2025-01-06T17:59:05.161378
N/A,N/A,N/A,2025-01-06T17:59:05.161453
N/A,N/A,N/A,2025-01-06T17:59:05.161475
N/A,N/A,N/A,2025-01-06T17:59:05.161495
N/A,N/A,N/A,2025-01-06T17:59:05.161515
N/A,N/A,N/A,2025-01-06T17:59:05.161584
N/A,N/A,N/A,2025-01-06T17:59:05.161653
N/A,N/A,N/A,2025-01-06T17:59:05.161721
N/A,N/A,N/A,2025-01-06T17:59:05.161778
N/A,N/A,N/A,2025-01-06T17:59:05.161866
N/A,N/A,N/A,2025-01-06T17:59:05.161926
N/A,N/A,N/A,2025-01-06T17:59:05.161986
N/A,N/A,N/A,2025-01-06T17:59:05.162044
N/A,N/A,N/A,2025-01-06T17:59:05.162101
N/A,N/A,N/A,2025-01-06T17:59:05.162158
N/A,N/A,N/A,2025-01-06T17:59:05.162216
N/A,N/A,N/A,2025-01-06T17:59:05.162275
N/A,N/A,N/A,2025-01-06T17:59:05.162339
N/A,N/A,N/A,2025-01-06T17:59:05.162397
N/A,N/A,N/A,2025-01-06T17:59:05.162462
N/A,N/A,N/A,2025-01-06T17:59:05.162520
N/A,N/A,"מירי דותן מנציחה את בעלה הקומיקאי בהרצאות המלוות בסרט על חייו. בריאיון היא מספרת על ילדותו הקשה ועל מותו הטראגי, אבל גם על האיש המצחיק והחם שהיה ועל המשפחה המיוחדת שלהם: מיכל, בתו מנישואיו הראשונים, בנם יוני, שהחלים מסרטן, ובתם נילי, שמגדלת יחד עם בת זוגה שתי בנות (את בתה של נילי מהורות משותפת ואת בתה המאומצת של אורנה בנאי)",2025-01-06T17:59:05.162612
N/A,N/A,"שנה חדשה היא הזדמנות להתחיל לחולל שינוי בהרגלי התזונה: 10 משפטים שכדאי להפסיק לומר לעצמנו, ו־10 משפטים שמומלץ לאמץ במקומם",2025-01-06T17:59:05.162701
N/A,N/A,"בתבשיל הודי עם קוקוס וקארי, בחטיפים פריכים ואפילו בהמבורגר - הכרובית במיטבה בתקופת החורף,  ותמיד שמחה להתעטף בתבלינים ותוספות",2025-01-06T17:59:05.162791
N/A,N/A,N/A,2025-01-06T17:59:05.162811
N/A,N/A,N/A,2025-01-06T17:59:05.162831
N/A,N/A,N/A,2025-01-06T17:59:05.162849
N/A,N/A,N/A,2025-01-06T17:59:05.162867
N/A,N/A,N/A,2025-01-06T17:59:05.162886
