Title,Company,Location,Description,job_name
אוהב/ת לבשל? בוא/י אלינו להיות טבח/ית!,ktesoro,"תל אביב
                    |",?? הזדמנות להצטרף לצוות מנצח באווירה מקצועית ומשפחתית.  ?? תנאים מעולים ותמיכה מלאה להתפתח...,UNKNOWN
עובדי מיון ופריקת סחורה בשדה התעופה בן גוריון,מור לוג כח אדם,"לוד
                    |","לחברת שילחו בין לאומית דרושים עובדי מיון, פירוק וליקוט סחורות שמגיעות מחול ומופצות לחברות ...",UNKNOWN
נציגי/ות מוקד שירות חדש של שטראוס מים באשדוד!,JOBS Ai,מספר מקומות,"נציגי שירות לקוחות למוקד שירות באשדוד - שטראוס מים  להעניק שירות ולעשות טוב בחברה מובילה, ...",UNKNOWN
"ללא מכירות - נציג/ת שירות לקוחות, שכר 9,000 ₪!",צעדים ייעוץ והשמה,מספר מקומות,"שירות לקוחות, ללא מכירות - שכר 9,000 ₪!  לחברה חדשנית בתחום האנרגיה דרושים /ות נציגי שירות...",נציג
"מפעילי/ות מערכות התזה - שכר מעולה, גם ללא ניסיון!","ניר-לי פתרונות בע""מ",מספר מקומות,"לחברה ותיקה, איכותית ומובילה בתחומה,  העוסקת במתן שירותים ותפעול טכנולוגיות התזה מתקדמות ל...",UNKNOWN
רכזי/ות קייטרינג בטיסות - שכר גבוה במשמרות נוחות,אואזיס,מספר מקומות,"לחברת קייטרינג מובילה בנתב""ג דרושים רכזי/ות קייטרינג בטיסות.  מגוון רחב של תפקידים ואפשרוי...",UNKNOWN
דרוש/ה פקיד/ת קבלה למגדל יוקרתי,"נתון-נוף ים בטחון בע""מ","תל אביב
                    |",למגדל יוקרה בתל אביב דרוש/ה פקיד/ת לובי  עבודה במשמרות כולל שישי שבת 24/7  שכר מעולה למתאי...,UNKNOWN
"נציג שירות לקוחות ללא נסיון, עבודה באשקלון",קישורית,"אשקלון
                    |","למוקד מדהים של קישורית באשקלון ,משרת שירות לקוחות קלילה ,  שעות בוקר בלבד 9 עד 17  הכשרה ע...",נציג
דרוש/ה נציג/ת קבלה,"נתון-נוף ים בטחון בע""מ","תל אביב
                    |","למגדלי מגורים בתל אביב דרוש/ה פקיד/ת לובי  משמרות 24/7 גמישות ונוחות + עבודה בסופ""ש  מתאים...",נציג
פחח למוסך רכבים העוסק בפרטיות  17-19K,- חסוי -,"פתח תקווה
                    |","למוסך של יבואן רכב דרוש פחח בעל תעודת ממשרד התחבורה.  ""מנהל מקצועי מחלקת פחחות ורכב""   עבו...",UNKNOWN
דרוש/ה נהג/ת פולטריילר/טריילר - שכר גבוה,- חסוי -,"חדרה
                    |",לחברת הובלה ותיקה באזור חדרה דרוש/ה נהג/ת פולטריילר/טריילר.  העבודה במשרה מלאה.  תנאים טוב...,UNKNOWN
